""	"lethalityCelltype1"	"lethalityCelltype2"	"effectSize"	"nexons"	"p0"	"lfdr"	"postProb"	"BayesFactor"
"PLCB2"	0.276896211551084	1.11368783248393	0.836791620932847	6	0.917128150415139	0.983509941981405	0.983509941981405	0.0903601634595438
"RBM48"	1.57859535423508	1.29288817358425	-0.28570718065083	5	0.916943864123478	0.983515564673917	0.98347061172109	0.0905793027536285
"EPRS"	0.895883377679243	0.47166331645828	-0.424220061220963	6	0.917275849123458	0.983541454604808	0.983541454604808	0.0901845949128531
"C8orf17"	-0.284632848808252	0.601231004323222	0.885863853131474	5	0.917281706002819	0.983542704046229	0.983542704046229	0.0901776340418222
"FRRS1"	0.426693250687892	1.08910121273478	0.662407962046887	6	0.917511333722274	0.983591680195046	0.983591680195046	0.0899047927212796
"FOXP3"	-0.124465078327778	0.521821295946187	0.646286374273965	6	0.917512373199855	0.983591901855374	0.983591901855374	0.089903557935101
"ZNF512B"	-1.28822952623438	-0.649389686747431	0.638839839486951	6	0.917529036016047	0.983595455013508	0.983595455013508	0.0898837647057424
"TBC1D13"	0.696092120972072	1.16968808327428	0.473595962302207	6	0.917609551194016	0.983612622512993	0.983612622512993	0.0897881334155422
"CLEC2L"	0.240761500619686	1.12624590543299	0.885484404813303	6	0.917700745372321	0.98363206408135	0.98363206408135	0.0896798384905845
"EHMT1"	-0.0368526471451134	0.620545315455408	0.657397962600522	5	0.917702374821364	0.983632411433325	0.983632411433325	0.0896779036827226
"THAP6"	-0.190803584043764	0.354179131362685	0.544982715406449	3	0.917846295344508	0.983663087894757	0.983663087278739	0.0895070395470255
"TMOD4"	0.270465129173215	1.18955534971878	0.919090220545564	6	0.917867718787746	0.983667652905485	0.983667652905485	0.0894816099652445
"CBX4"	0.0253911538938033	0.886634077956309	0.861242924062506	6	0.91808074252503	0.983713041869115	0.983713041869115	0.0892288158116299
"ANGPTL7"	-0.426690626931424	-0.495510751593126	-0.0688201246617017	6	0.918081678024067	0.98371324115866	0.98371324115866	0.0892277059185415
"CXCR3"	0.233045613482863	1.84570865941853	1.61266304593567	5	0.918110707387671	0.983719425128008	0.983719425128008	0.0891932660771721
"EXOC2"	0.596241193693061	0.015785193286446	-0.580456000406615	6	0.918196836109432	0.983737770823169	0.983737770823169	0.0890910975441634
"DACT2"	-0.167744460350404	0.602129121575783	0.769873581926187	6	0.918196939137082	0.983737792766739	0.983737792766739	0.0890909753410809
"TRERF1"	1.08972092225904	1.7670417540572	0.677320831798159	6	0.918199002580978	0.983738232253033	0.983738232253033	0.0890885278562562
"SMKR1"	-0.519890623219879	0.464221463796166	0.984112087016045	3	0.918217620493869	0.983742197550998	0.983742197550998	0.089066445340206
"C6orf52"	1.52487472591181	-0.134132674262916	-1.65900740017473	5	0.918226275404619	0.983744040855535	0.983744040855535	0.0890561801439926
"MAPK8IP1"	0.506402592411429	1.05517541483146	0.548772822420028	6	0.918272877590638	0.983753965611752	0.983753965611752	0.0890009107355951
"DHX8"	1.65053270098044	0.662382323766549	-0.988150377213887	5	0.918359116034089	0.983772329478434	0.983772329478434	0.0888986481872969
